x,y
2.062500000000000000e+00,-1.562462261627119986e-01
2.078125000000000000e+00,-1.788783433716749360e-01
2.093750000000000000e+00,-2.002038376788672080e-01
2.109375000000000000e+00,-2.168973291367246314e-01
2.125000000000000000e+00,-2.295245859454216331e-01
2.140625000000000000e+00,-2.431438622380641401e-01
2.156250000000000000e+00,-2.576718152240761173e-01
2.171875000000000000e+00,-2.709503172413550431e-01
2.187500000000000000e+00,-2.841557524582849492e-01
2.203125000000000000e+00,-2.933108650034566001e-01
2.218750000000000000e+00,-2.980675040067329862e-01
2.234375000000000000e+00,-3.013073051261156432e-01
2.250000000000000000e+00,-3.020658745844838622e-01
2.265625000000000000e+00,-3.040808392643434277e-01
2.281250000000000000e+00,-3.079798553647125070e-01
2.296875000000000000e+00,-3.112559411184653291e-01
2.312500000000000000e+00,-3.150139443191222188e-01
2.328125000000000000e+00,-3.176812942199114254e-01
2.343750000000000000e+00,-3.190513285215003658e-01
2.359375000000000000e+00,-3.208840464887484645e-01
2.375000000000000000e+00,-3.228520879004934119e-01
2.390625000000000000e+00,-3.210475648692290296e-01
2.406250000000000000e+00,-3.153661160430554222e-01
2.421875000000000000e+00,-3.074695490678704957e-01
2.437500000000000000e+00,-2.963572543218719324e-01
2.453125000000000000e+00,-2.847425686955269430e-01
2.468750000000000000e+00,-2.727958269931347046e-01
2.484375000000000000e+00,-2.583217992299437493e-01
2.500000000000000000e+00,-2.419073763665656462e-01
2.515625000000000000e+00,-2.289824086366846756e-01
2.531250000000000000e+00,-2.198320784204751133e-01
2.546875000000000000e+00,-2.123112157916170750e-01
2.562500000000000000e+00,-2.079130125790784878e-01
2.578125000000000000e+00,-2.029665046469734668e-01
2.593750000000000000e+00,-1.973563439338029135e-01
2.609375000000000000e+00,-1.942528916887450441e-01
2.625000000000000000e+00,-1.929548083360628774e-01
2.640625000000000000e+00,-1.903313718906944896e-01
2.656250000000000000e+00,-1.865450621410306431e-01
2.671875000000000000e+00,-1.826831314480856228e-01
2.687500000000000000e+00,-1.780389935883058827e-01
2.703125000000000000e+00,-1.753748231792157664e-01
2.718750000000000000e+00,-1.748846498917413783e-01
2.734375000000000000e+00,-1.746548375092504268e-01
2.750000000000000000e+00,-1.753420114068249269e-01
2.765625000000000000e+00,-1.725016917383061510e-01
2.781250000000000000e+00,-1.655225965701568880e-01
2.796875000000000000e+00,-1.569983034845025549e-01
2.812500000000000000e+00,-1.456296208524149871e-01
2.828125000000000000e+00,-1.335675601032160487e-01
2.843750000000000000e+00,-1.209925463292541858e-01
2.859375000000000000e+00,-1.056678554533935360e-01
2.875000000000000000e+00,-8.801026272401613060e-02
2.890625000000000000e+00,-7.193920273485507333e-02
2.906250000000000000e+00,-5.747618123152253150e-02
2.921875000000000000e+00,-4.298410307850628748e-02
2.937500000000000000e+00,-2.942622097810721274e-02
2.953125000000000000e+00,-1.390064631815346799e-02
2.968750000000000000e+00,3.800543186033069568e-03
2.984375000000000000e+00,2.144859304960775731e-02
3.000000000000000000e+00,3.970303245879587550e-02
3.015625000000000000e+00,5.517883941285228050e-02
3.031250000000000000e+00,6.728761388327345050e-02
3.046875000000000000e+00,7.808940467807157226e-02
3.062500000000000000e+00,8.654071450493709683e-02
3.078125000000000000e+00,9.405873892966043481e-02
3.093750000000000000e+00,1.007454733335408636e-01
3.109375000000000000e+00,1.049280741044181370e-01
3.125000000000000000e+00,1.068423803384877940e-01
3.140625000000000000e+00,1.097502750611787647e-01
3.156250000000000000e+00,1.136570808607164779e-01
3.171875000000000000e+00,1.170912656843235977e-01
3.187500000000000000e+00,1.208309729899938317e-01
3.203125000000000000e+00,1.224583866172273827e-01
3.218750000000000000e+00,1.217555716700879642e-01
3.234375000000000000e+00,1.205341978410664483e-01
3.250000000000000000e+00,1.182134755141610732e-01
3.265625000000000000e+00,1.163040123346691657e-01
3.281250000000000000e+00,1.151286287856258528e-01
3.296875000000000000e+00,1.135327234362853988e-01
