a,b,c,d,e,f
-1.915591559155915746e+01,nan,nan,nan,nan,nan
-1.915191519151915145e+01,nan,nan,nan,nan,nan
-1.914791479147914899e+01,nan,nan,nan,nan,nan
-1.914391439143914297e+01,nan,nan,nan,nan,nan
-1.913991399139914051e+01,nan,nan,nan,nan,nan
-1.913591359135913450e+01,nan,nan,nan,nan,nan
-1.913191319131913204e+01,nan,nan,nan,nan,nan
-1.912791279127912958e+01,nan,nan,nan,nan,nan
-1.912391239123912356e+01,nan,nan,nan,nan,nan
-1.911991199119912110e+01,nan,nan,nan,nan,nan
-1.911591159115911509e+01,nan,nan,nan,nan,nan
-1.911191119111911263e+01,nan,nan,nan,nan,nan
-1.910791079107910662e+01,nan,nan,nan,nan,nan
-1.910391039103910416e+01,nan,nan,nan,nan,nan
-1.909990999099910169e+01,nan,nan,nan,nan,nan
-1.909590959095909568e+01,nan,nan,nan,nan,nan
-1.909190919091909322e+01,nan,nan,nan,nan,nan
-1.908790879087908721e+01,nan,nan,nan,nan,nan
-1.908390839083908475e+01,nan,nan,nan,nan,nan
-1.907990799079907873e+01,nan,nan,nan,nan,nan
-1.907590759075907627e+01,nan,nan,nan,nan,nan
-1.907190719071907026e+01,nan,nan,nan,nan,nan
-1.906790679067906780e+01,nan,nan,nan,nan,nan
-1.906390639063906534e+01,nan,nan,nan,nan,nan
-1.905990599059905932e+01,nan,nan,nan,nan,nan
-1.905590559055905686e+01,nan,nan,nan,nan,nan
-1.905190519051905085e+01,nan,nan,nan,nan,nan
-1.904790479047904839e+01,nan,nan,nan,nan,nan
-1.904390439043904237e+01,nan,nan,nan,nan,nan
-1.903990399039903991e+01,nan,nan,nan,nan,nan
-1.903590359035903745e+01,nan,nan,nan,nan,nan
-1.903190319031903144e+01,nan,nan,nan,nan,nan
-1.902790279027902898e+01,nan,nan,nan,nan,nan
-1.902390239023902296e+01,nan,nan,nan,nan,nan
-1.901990199019902050e+01,nan,nan,nan,nan,nan
-1.901590159015901449e+01,nan,nan,nan,nan,nan
-1.901190119011901203e+01,nan,nan,nan,nan,nan
-1.900790079007900957e+01,nan,nan,nan,nan,nan
-1.900390039003900355e+01,nan,nan,nan,nan,nan
-1.899989998999900109e+01,nan,nan,nan,nan,nan
-1.899589958995899508e+01,nan,nan,nan,nan,nan
-1.899189918991899262e+01,nan,nan,nan,nan,nan
-1.898789878987898661e+01,nan,nan,nan,nan,nan
-1.898389838983898414e+01,nan,nan,nan,nan,nan
-1.897989798979897813e+01,nan,nan,nan,nan,nan
-1.897589758975897567e+01,nan,nan,nan,nan,nan
-1.897189718971897321e+01,nan,nan,nan,nan,nan
-1.896789678967896720e+01,nan,nan,nan,nan,nan
-1.896389638963896473e+01,nan,nan,nan,nan,nan
-1.895989598959895872e+01,nan,nan,nan,nan,nan
-1.895589558955895626e+01,nan,nan,nan,nan,nan
-1.895189518951895025e+01,nan,nan,nan,nan,nan
-1.894789478947894779e+01,nan,nan,nan,nan,nan
-1.894389438943894532e+01,nan,nan,nan,nan,nan
-1.893989398939893931e+01,nan,nan,nan,nan,nan
-1.893589358935893685e+01,nan,nan,nan,nan,nan
-1.893189318931893084e+01,nan,nan,nan,nan,nan
-1.892789278927892838e+01,nan,nan,nan,nan,nan
