lines,unet,naive,ours
5.800000000000000000e+01,3.114205551147460938e+01,2.271912384033203125e+01,3.192018890380859375e+01
5.900000000000000000e+01,3.122307968139648438e+01,2.272297286987304688e+01,3.201649475097656250e+01
6.000000000000000000e+01,3.122200012207031250e+01,2.272294616699218750e+01,3.210199737548828125e+01
6.100000000000000000e+01,3.122514724731445312e+01,2.272295761108398438e+01,3.201041412353515625e+01
6.200000000000000000e+01,3.129772949218750000e+01,2.272813415527343750e+01,3.218796920776367188e+01
6.300000000000000000e+01,3.133998870849609375e+01,2.273077392578125000e+01,3.215209960937500000e+01
6.400000000000000000e+01,3.130005645751953125e+01,2.274813079833984375e+01,3.224694442749023438e+01
6.500000000000000000e+01,3.130191802978515625e+01,2.275456428527832031e+01,3.222042465209960938e+01
6.600000000000000000e+01,3.136904716491699219e+01,2.276023864746093750e+01,3.236582183837890625e+01
6.700000000000000000e+01,3.141684722900390625e+01,2.276493263244628906e+01,3.219907379150390625e+01
6.800000000000000000e+01,3.155139160156250000e+01,2.278309631347656250e+01,3.260725402832031250e+01
6.900000000000000000e+01,3.159171867370605469e+01,2.278774261474609375e+01,3.263667297363281250e+01
7.000000000000000000e+01,3.167728042602539062e+01,2.279136657714843750e+01,3.252462768554687500e+01
7.100000000000000000e+01,3.172821235656738281e+01,2.279609489440917969e+01,3.282258987426757812e+01
7.200000000000000000e+01,3.178369522094726562e+01,2.281268882751464844e+01,3.287427520751953125e+01
7.300000000000000000e+01,3.179006385803222656e+01,2.281450080871582031e+01,3.294816589355468750e+01
7.400000000000000000e+01,3.182160186767578125e+01,2.281755065917968750e+01,3.295114898681640625e+01
7.500000000000000000e+01,3.185824584960937500e+01,2.282223892211914062e+01,3.300989913940429688e+01
7.600000000000000000e+01,3.189420700073242188e+01,2.282541275024414062e+01,3.306168365478515625e+01
7.700000000000000000e+01,3.191763877868652344e+01,2.282698059082031250e+01,3.306380844116210938e+01
