x,a,b,c,d
3.165829145728643046e-01,5.800209417939186096e-01,1.367185711860656738e-01,2.010107040405273438e-03,6.066858768463134766e-02
3.216080402010050299e-01,5.929686799645423889e-01,1.453251242637634277e-01,3.504633903503417969e-03,5.252504348754882812e-02
3.266331658291457551e-01,6.057860031723976135e-01,1.539909839630126953e-01,5.362629890441894531e-03,4.513800144195556641e-02
3.316582914572864249e-01,6.184740439057350159e-01,1.627069115638732910e-01,7.557988166809082031e-03,3.846168518066406250e-02
3.366834170854271502e-01,6.310345306992530823e-01,1.714640855789184570e-01,1.006662845611572266e-02,3.245341777801513672e-02
3.417085427135678199e-01,6.434685364365577698e-01,1.802546977996826172e-01,1.286613941192626953e-02,2.707338333129882812e-02
3.467336683417085452e-01,6.557779088616371155e-01,1.890714168548583984e-01,1.593577861785888672e-02,2.228391170501708984e-02
3.517587939698492705e-01,6.679641380906105042e-01,1.979076862335205078e-01,1.925587654113769531e-02,1.805031299591064453e-02
3.567839195979899403e-01,6.800287738442420959e-01,2.067575454711914062e-01,2.280879020690917969e-02,1.433956623077392578e-02
3.618090452261306655e-01,6.919732466340065002e-01,2.156154513359069824e-01,2.657771110534667969e-02,1.112139225006103516e-02
3.668341708542713353e-01,7.037995830178260803e-01,2.244763970375061035e-01,3.054690361022949219e-02,8.366703987121582031e-03
3.718592964824120606e-01,7.155092135071754456e-01,2.333356738090515137e-01,3.470218181610107422e-02,6.048679351806640625e-03
3.768844221105527859e-01,7.271036878228187561e-01,2.421891689300537109e-01,3.902995586395263672e-02,4.142165184020996094e-03
3.819095477386934556e-01,7.385847344994544983e-01,2.510331273078918457e-01,4.351747035980224609e-02,2.623319625854492188e-03
3.869346733668341809e-01,7.499542012810707092e-01,2.598639726638793945e-01,4.815316200256347656e-02,1.469969749450683594e-03
3.919597989949749062e-01,7.612133398652076721e-01,2.686784267425537109e-01,5.292618274688720703e-02,6.611347198486328125e-04
3.969849246231155759e-01,7.723640576004981995e-01,2.774738073348999023e-01,5.782616138458251953e-02,1.772642135620117188e-04
4.020100502512563012e-01,7.834078446030616760e-01,2.862473130226135254e-01,6.284368038177490234e-02,0.000000000000000000e+00
4.070351758793969710e-01,7.943463698029518127e-01,2.949965000152587891e-01,6.796991825103759766e-02,1.118183135986328125e-04
4.120603015075376963e-01,8.051812425255775452e-01,3.037192225456237793e-01,7.319629192352294922e-02,4.963874816894531250e-04
4.170854271356784215e-01,8.159140124917030334e-01,3.124134540557861328e-01,7.851541042327880859e-02,1.138687133789062500e-03
4.221105527638190913e-01,8.265461102128028870e-01,3.210774660110473633e-01,8.391964435577392578e-02,2.023935317993164062e-03
4.271356783919598166e-01,8.370792642235755920e-01,3.297095894813537598e-01,8.940255641937255859e-02,3.138422966003417969e-03
4.321608040201004863e-01,8.475149050354957581e-01,3.383083939552307129e-01,9.495759010314941406e-02,4.469633102416992188e-03
4.371859296482412116e-01,8.578545227646827698e-01,3.468725085258483887e-01,1.005787849426269531e-01,6.005287170410156250e-03
4.422110552763819369e-01,8.680997267365455627e-01,3.554005026817321777e-01,1.062605381011962891e-01,7.733941078186035156e-03
4.472361809045226066e-01,8.782516494393348694e-01,3.638916611671447754e-01,1.119977235794067383e-01,9.644985198974609375e-03
4.522613065326633319e-01,8.883119598031044006e-01,3.723447918891906738e-01,1.177855730056762695e-01,1.172816753387451172e-02
4.572864321608040017e-01,8.982820883393287659e-01,3.807591795921325684e-01,1.236193180084228516e-01,1.397395133972167969e-02
4.623115577889447270e-01,9.081633463501930237e-01,3.891338706016540527e-01,1.294946670532226562e-01,1.637327671051025391e-02
4.673366834170854522e-01,9.179571643471717834e-01,3.974683880805969238e-01,1.354075670242309570e-01,1.891756057739257812e-02
4.723618090452261220e-01,9.276648536324501038e-01,4.057617783546447754e-01,1.413544416427612305e-01,2.159869670867919922e-02
4.773869346733668473e-01,9.372875466942787170e-01,4.140136837959289551e-01,1.473314762115478516e-01,2.440917491912841797e-02
4.824120603015075170e-01,9.468267932534217834e-01,4.222239851951599121e-01,1.533354520797729492e-01,2.734160423278808594e-02
4.874371859296482423e-01,9.562837854027748108e-01,4.303919672966003418e-01,1.593633890151977539e-01,3.038918972015380859e-02
4.924623115577889676e-01,9.656598344445228577e-01,4.385172724723815918e-01,1.654121875762939453e-01,3.354549407958984375e-02
4.974874371859296374e-01,9.749560132622718811e-01,4.465996623039245605e-01,1.714791059494018555e-01,3.680443763732910156e-02
5.025125628140703071e-01,9.841736331582069397e-01,4.546390175819396973e-01,1.775615215301513672e-01,4.016017913818359375e-02
5.075376884422110324e-01,9.933137670159339905e-01,4.626349806785583496e-01,1.836572885513305664e-01,4.360723495483398438e-02
5.125628140703517577e-01,1.002377845346927643e+00,4.705876708030700684e-01,1.897637844085693359e-01,4.714047908782958984e-02
5.175879396984924830e-01,1.011366583406925201e+00,4.784966111183166504e-01,1.958789825439453125e-01,5.075490474700927734e-02
5.226130653266332082e-01,1.020281530916690826e+00,4.863620400428771973e-01,2.020009756088256836e-01,5.444562435150146484e-02
